Product Type,Product Name,Product Code,Category Code,Subcategory Code,Make & Model,Cost,Price,Quantity,Alert Quantity, Supplier,Tax Rate Name,Tax Method,Image,Details
Standard,Spring Hock Shaft,1,MISC,,A001E,0,0.2,0,5,Own Stock,No Tax,exclusive,no_image.png,172EE0023301
Standard,Focus Slide Shaft Saucer (243),2,MISC,,A001E,0,0.1,0,5,Own Stock,No Tax,exclusive,no_image.png,A3000027-0000A
Standard,Focus Gear Ring Assy,3,MISC,,A001E,0,10.9,0,5,Own Stock,No Tax,exclusive,no_image.png,AA001E0000+A65
Standard,Focus Brush,4,MISC,,A001E,0,0.1,0,5,Own Stock,No Tax,exclusive,no_image.png,A3000008-0000A
Standard,Zoom Brush,5,MISC,,A001E,0,0.2,0,5,Own Stock,No Tax,exclusive,no_image.png,A3000009-0000A
Standard,A/M Brush,6,MISC,,A001E,0,0.2,0,5,Own Stock,No Tax,exclusive,no_image.png,A3000010-0000A
Standard,Clutch Board A,7,MISC,,A001E,0,0.4,0,5,Own Stock,No Tax,exclusive,no_image.png,A3000013-0000A
Standard,Clutch Board B,8,MISC,,A001E,0,0.1,0,5,Own Stock,No Tax,exclusive,no_image.png,A3000014-0000A
Standard,Zoom Reinforce Board(174),9,MISC,,A001E,0,0.1,0,5,Own Stock,No Tax,exclusive,no_image.png,A3100003-0000A
Standard,Focus Window,10,MISC,,A001E,0,7.4,0,5,Own Stock,No Tax,exclusive,no_image.png,A4000013-0000A
Standard,Rear Masking Barrel,11,MISC,,A001E,0,1.4,0,5,Own Stock,No Tax,exclusive,no_image.png,A4000024-0000A
Standard,Link Gear(203),12,MISC,,A001E,0,0.8,0,5,Own Stock,No Tax,exclusive,no_image.png,A5100003-0000A
Standard,Focus Reinforce Board (173),13,MISC,,A001E,0,0.6,0,5,Own Stock,No Tax,exclusive,no_image.png,A5A00010-0000A
Standard,A/M Brush Seal,14,MISC,,A001E,0,0.1,0,5,Own Stock,No Tax,exclusive,no_image.png,A5A00032-0000A
Standard,Return Spring(234),15,MISC,,A001E,0,0.1,0,5,Own Stock,No Tax,exclusive,no_image.png,A5A00033-0000A
Standard,Focus Reinforce B. Tape (188),16,MISC,,A001E,0,0.1,0,5,Own Stock,No Tax,exclusive,no_image.png,A5A00040-0000A
Standard,Dust Control Tape,17,MISC,,A001E,0,0.1,0,5,Own Stock,No Tax,exclusive,no_image.png,A5A00054-0000A
Standard,Vibration Proof Sheet(168),18,MISC,,A001E,0,0.1,0,5,Own Stock,No Tax,exclusive,no_image.png,A5A00046-0000A
Standard,Insulation Sheet(169),19,MISC,,A001E,0,0.1,0,5,Own Stock,No Tax,exclusive,no_image.png,A5A00047-0000A
Standard,Connecting Barrel Assy,20,MISC,,A001E,0,28.3,0,5,Own Stock,No Tax,exclusive,no_image.png,AA001E0000+A60
Standard,Fluted Barrel Assy,21,MISC,,A001E,0,79.3,0,5,Own Stock,No Tax,exclusive,no_image.png,AA001E0000+A63
Standard,Outer Barrel Assy,22,MISC,,A001E,0,3.9,0,5,Own Stock,No Tax,exclusive,no_image.png,AA001E0000+A64
Standard,Zoom Ring Assy,23,MISC,,A001E,0,3.3,0,5,Own Stock,No Tax,exclusive,no_image.png,AA001E0000+A66
Standard,1G Lens Front Frame Assy,24,MISC,,A001E,0,88.2,0,5,Own Stock,No Tax,exclusive,no_image.png,AA001E0000+A82
Standard,1G Lens Rear Frame Assy,25,MISC,,A001E,0,91.7,0,5,Own Stock,No Tax,exclusive,no_image.png,AA001E0000+A83
Standard,2G Lens Frame Assy,26,MISC,,A001E,0,37.7,0,5,Own Stock,No Tax,exclusive,no_image.png,AA001E0000+A84
Standard,3G Lens Frame Assy,27,MISC,,A001E,0,20.8,0,5,Own Stock,No Tax,exclusive,no_image.png,AA001E0000+A85
Standard,G14 Lens Frame Assy,28,MISC,,A001E,0,14.3,0,5,Own Stock,No Tax,exclusive,no_image.png,AA001E0000+A86
Standard,Diaphragm Assy,29,MISC,,A001E,0,58.5,0,5,Own Stock,No Tax,exclusive,no_image.png,AA001E0000+A87
Standard,Middle Barrel Assy,30,MISC,,A001E,0,11.8,0,5,Own Stock,No Tax,exclusive,no_image.png,AA001E0000-A09
Standard,Reduction Gear Assy,31,MISC,,A001E,0,21.1,0,5,Own Stock,No Tax,exclusive,no_image.png,AA001E0000-A11
Standard,Rear Barrel Assy,32,MISC,,A001E,0,27.4,0,5,Own Stock,No Tax,exclusive,no_image.png,AA001E0000-A12
Standard,Mount Assy,33,MISC,,A001E,0,6.7,0,5,Own Stock,No Tax,exclusive,no_image.png,AA001E0000+A80
Standard,Tripod Base Assy,34,MISC,,A001E,0,32.2,0,5,Own Stock,No Tax,exclusive,no_image.png,AA001E0000-A14
Standard,Masking Plate Assy,35,MISC,,A001E,0,1.2,0,5,Own Stock,No Tax,exclusive,no_image.png,AA001E0000+A81
Standard,Focus Rubber,36,MISC,,A001E,0,1.2,0,5,Own Stock,No Tax,exclusive,no_image.png,A4000011-0000A
Standard,Zoom Rubber,37,MISC,,A001E,0,1.0,0,5,Own Stock,No Tax,exclusive,no_image.png,A4000012-0000A
Standard,Filter Thread Frame Assy,38,MISC,,A001E,0,10.4,0,5,Own Stock,No Tax,exclusive,no_image.png,AA001E0000+A62
Standard,1G Front Frame Adj. Washer T=0.1,39,MISC,,A001E,0,0.1,0,5,Own Stock,No Tax,exclusive,no_image.png,A3300001C0000A
Standard,1G Front Frame Adj. Washer T=0.2,40,MISC,,A001E,0,0.1,0,5,Own Stock,No Tax,exclusive,no_image.png,A3300001B0000A
Standard,Brush Sheet,41,MISC,,A001E,0,0.0,0,5,Own Stock,No Tax,exclusive,no_image.png,A5A00020-0000A
